date,close,open,high,low,vol,pct_change,return,log_return,volatility_20d
2015-12-17,7844.35,7783.05,7852.9,7737.55,181.26,1.21,0.012056664387361637,0.011984561775383614,0.12300155861799858
2015-12-18,7761.95,7828.9,7836.15,7753.35,197.32,-1.05,-0.010504375760898021,-0.010559936143228895,0.11825115819030513
2015-12-21,7834.45,7745.65,7840.75,7733.45,130.17,0.93,0.009340436359420057,0.009297084226538115,0.12310407744300496
2015-12-22,7786.1,7829.4,7846.3,7776.85,129.63,-0.62,-0.006171460664118,-0.0061905828425923215,0.12495371267772601
2015-12-23,7865.95,7830.45,7871.45,7826.1,121.48,1.03,0.010255455234327693,0.01020322484736798,0.1302211926620126
2015-12-24,7861.05,7888.75,7888.75,7835.5,96.37,-0.06,-0.0006229381066494843,-0.0006231322132069426,0.1280021229710519
2015-12-28,7925.15,7863.2,7937.2,7863.0,126.74,0.82,0.008154126993213273,0.008121061723696364,0.12855644437987912
2015-12-29,7928.95,7929.2,7942.15,7902.75,116.54,0.05,0.0004794861926904481,0.000479371275918494,0.1285338635265431
2015-12-30,7896.25,7938.6,7944.75,7889.85,110.15,-0.41,-0.004124127406529232,-0.004132655074162747,0.12895908995248392
2015-12-31,7946.35,7897.8,7955.55,7891.15,155.64,0.63,0.00634478391641613,0.006324740510985518,0.1306842244580632
2016-01-01,7963.2,7938.45,7972.55,7909.8,64.84,0.21,0.0021204704046511313,0.0021182253803941208,0.1267915741036045
2016-01-04,7791.3,7924.55,7937.55,7781.1,138.86,-2.16,-0.02158679927667262,-0.02182320254634219,0.145015481587309
2016-01-05,7784.65,7828.4,7831.2,7763.25,149.67,-0.09,-0.000853516101292584,-0.0008538805535521714,0.14483199847227743
2016-01-06,7741.0,7788.05,7800.95,7721.2,151.72,-0.56,-0.005607188505584615,-0.0056229677996819044,0.14311774446406522
2016-01-07,7568.3,7673.35,7674.95,7556.6,194.73,-2.23,-0.02230977909830767,-0.022562406666700497,0.15946540209836943
2016-01-08,7601.35,7611.65,7634.1,7581.05,162.35,0.44,0.004366898775154393,0.00435739154073617,0.15649472654745572
2016-01-11,7563.85,7527.45,7605.1,7494.35,194.84,-0.49,-0.004933334210370566,-0.004945543274399779,0.15382607275224766
2016-01-12,7510.3,7587.2,7588.3,7487.8,168.98,-0.71,-0.007079727916338929,-0.007104908106335364,0.15418929827835673
2016-01-13,7562.4,7557.9,7590.95,7425.8,221.91,0.69,0.006937139661531422,0.006913188413160628,0.15437964335161963
2016-01-14,7536.8,7467.4,7604.8,7443.8,206.99,-0.34,-0.0033851687295037847,-0.003390911376716468,0.1520794488366086
2016-01-15,7437.8,7561.65,7566.5,7427.3,203.64,-1.31,-0.013135548243286221,-0.013222582559598958,0.1489436146505194
2016-01-18,7351.0,7420.35,7463.65,7336.4,240.8,-1.17,-0.011670117507865285,-0.011738747800771408,0.14982892830727434
2016-01-19,7435.1,7381.8,7462.75,7364.15,194.07,1.14,0.011440620323765582,0.011375671328844596,0.15220291655467805
2016-01-20,7309.3,7357.0,7470.9,7241.5,232.61,-1.69,-0.016919745531331132,-0.017064519778242238,0.16027063104873848
